ID карточки    ;Наименование    ;№ в реестре    ;Дата обнаружения    ;Вид объекта    ;Категория земель    ;Муниципальное образование    ;Местоположение    ;Долгота    ;Широта    ;Тип отходов    ;Площадь, га    ;Объем, м3    ;Отметка о ликвидации    ;Дата ликвидации    ;Примечание    ;Прикреплённые файлы    
399;"Захламление (13.09.2023) (9-399) (проезд №9 (п.4) (район СОНТ ""Птицевод""))";9-399;13.09.2023;Захламление;Земли населенных пунктов;г.Урай;"проезд №9 (п.4) (район СОНТ ""Птицевод"")";64.717552185058594;60.141666412353516;дверное полотно;3.9999999999999998e-06;0.02;нет;;Акт № 2102174-6-60 от 13.09.2023г. Извещение № 31-06-1234 от 19.09.2023;
550;Свалка по ПП РФ № 542 (25.10.2022) (810) (п. Юбилейный по адресу:   ул. Лесная 3);810;25.10.2022;Свалка по ПП РФ № 542;Земли населенных пунктов;Советский район;п. Юбилейный по адресу:   ул. Лесная 3;62.768379211425781;61.185165405273438;Строительные отходы. ;0.20000000000000001;1000;нет;;"Отчёт  № 2070704-5-50 осмотра территории  25.10.2022  Поручения  И.о. руководителя Службы – А.А. Бирюкова, № 231/2022-Э исх. № 31-02-8788 от 24.10.2022г., заявления № 1274 от 20.10.2022г. Такунцева Д.А. о несанкционированном размещении отходов на территории.
 В адрес администрации п. Пионерский направлено извещение от 26.10.2022 31.05-исх-1774. 12.07.23 исх. № 31.05-Исх-972 материал передан в ЮМП для подготовки искового заявления в суд о понуждении ОМС к ликвидации.  12.09.23 Исх. 08-03-2023 ЮМП направлено исковое заявление в Советский  райсуд.";
507;Свалка по ПП РФ № 542 (01.08.2023) (9-507) (территория бывшего пос. ЮЭН);9-507;01.08.2023;Свалка по ПП РФ № 542;Земли населенных пунктов;г.Нефтеюганск;территория бывшего пос. ЮЭН;72.595458984375;61.109920501708984;ТКО,  строительные, производственные, КГО;0.040000000000000001;-;да;20.06.2024;"N 61,11036°  E 72,59643°; N 61,11038°  E 72,59651°; N 61,11042°  E 72,59657°; N 61,11026°  E 72,59632°; N 61,11028°  E 72,59678°, Передано в Нефтеюганскую межрайонную прокуратуру Исх. № 31.01-Исх-1716 от 09.11.2023     ";Рапорт + фото от 20.06.2024.pdf
777;Захламление (28.05.2024) (9-777) (пгт.Междуреченский, ул.Солнечная);9-777;28.05.2024;Захламление;Земли населенных пунктов;Кондинский район;пгт.Междуреченский, ул.Солнечная;65.909751892089844;59.581722259521484;ТКО, строительный мусор;0.00059999999999999995;6;нет;;;
406;Захламление (19.09.2023) (9-406) (р-н ул.Буровиков с правой стороны от обочины дороги по направлению г.Урай-Пирс (п.2));9-406;19.09.2023;Захламление;Земли населенных пунктов;г.Урай;р-н ул.Буровиков с правой стороны от обочины дороги по направлению г.Урай-Пирс (п.2);64.809333801269531;60.128223419189453;ТКО;0.0001;0.5;да;18.09.2024;Акт, подтверждающий ликвидацию: от 18.09.2024 №2147164-6-60;
689;Захламление (21.05.2024) (9-689) (в районе домов №№11/1 и 11/2 в 17 микрорайоне);9-689;21.05.2024;Захламление;Земли населенных пунктов;г.Нефтеюганск;в районе домов №№11/1 и 11/2 в 17 микрорайоне;72.60736083984375;61.074111938476562;мелкие бытовые отходы, автомобильные покрышки (4 шт.), ветошь, полиэтилен, пенопласт, пластиковые канистры, деревянный поддон;0.001;5;нет;;"N 61˚04ʹ23,8ʺ Е 72˚36ʹ18,7ʺ
N 61˚04ʹ24,4ʺ Е 72˚36ʹ18ʺ
N 61˚04ʹ23,6ʺ Е 72˚36ʹ19,3ʺ";
676;"Захламление (11.07.2024) (9-676) (Олений Остров ТСН ""Недра"")";9-676;11.07.2024;Захламление;Земли населенных пунктов;Нефтеюганский район;"Олений Остров ТСН ""Недра""";72.807472229003906;61;строительные и бытовые отходы;0.00089999999999999998;3;нет;;;Письмо в администрацию городского округа Нефтеюганск.pdf
797;Захламление (21.05.2024) (9-797) (Древесные отходы, строительный мусор);9-797;21.05.2024;Захламление;Земли населенных пунктов;г.Урай;Древесные отходы, строительный мусор;60.114360809326172;64.791221618652344;Древесные отходы, строительный мусор;0.002;1;нет;;"N60° 06' 51.7"" E64° 47' 28.4""
";
463;Свалка по ПП РФ № 542 (06.03.2012) (9-463) (пгт.Междуреченский, между ул.Радужная и ул.Солнечная);9-463;06.03.2012;Свалка по ПП РФ № 542;Земли населенных пунктов;Кондинский район;пгт.Междуреченский, между ул.Радужная и ул.Солнечная;65.958358764648438;59.343189239501953;Строительный мусор;0.12;3300;да;12.07.2024;Акт, подтверждающий ликвидацию: №2138123-6-60 от 12.06.2024;
719;Захламление (14.06.2024) (9-719) (вдоль грунтовой  дороги   от куста № 24 до  СНТ «Северная Нива»);9-719;14.06.2024;Захламление;Земли населенных пунктов;г.Нефтеюганск;вдоль грунтовой  дороги   от куста № 24 до  СНТ «Северная Нива»;72.652999877929688;61.116832733154297;пластиковые и стеклянные  бутылки, мебель б/у, мешки с бытовым мусором;0.0050000000000000001;2;да;25.07.2024;;
839;Захламление (21.05.2025) (9-839) (ТСН СНТ «Коммунальник -2»);9-839;21.05.2025;Захламление;Земли населенных пунктов;г.Урай;ТСН СНТ «Коммунальник -2»;60.104557037353516;64.748611450195312;Древесные отходы, ЖБИ;0.0054999999999999997;1.2;нет;;"N60° 06' 16.4"" E64° 44' 55.0""
";
641;Захламление (03.06.2024) (9-641) (г.Лянтор);9-641;03.06.2024;Захламление;Земли населенных пунктов;Сургутский район;г.Лянтор;72.136337280273438;61.59600830078125;отходы производства и потребления: строительные (отходы бетона, кирпича, профнастила и др.), шины;0.26000000000000001;5390;да;12.08.2024;;
605;Захламление (06.09.2023) (12) (г.п. Агириш, ул. Лесозаготовителей, д.15);12;06.09.2023;Захламление;Земли населенных пунктов;Советский район;г.п. Агириш, ул. Лесозаготовителей, д.15;63.015960693359375;61.925430297851562;Строительный мусор;;;нет;;ОТЧЕТ № 2102167-5-50 О ПРОВЕДЕНИИ ОСМОТРА ТЕРРИТОРИИ, УКАЗАННОЙ В ОБРАЩЕНИИ ГРАЖДАН от 11.09.23 На основании поручения и.о. руководителя Службы А.А. Бирюкова,                  исх. от 01.09.2023 № 31-02-8879 с приложением обращения гражданина Такунцева Д.А., поступившего из аппарата Губернатора ХМАО-Югры (РК № 01-ОГ-6985 от 22.08.2023) проведен осмотр ветхих расселенных домов с размещенными вблизи них местами несанкционированного размещения отходов на территории г.п. Агириш передано в ЮМП 28.11.23 № 31.05-1736. Согласно представления об устранении нарушений законодательства от 29.12.2023 № 07-16-2023/Прдп262-23-20711016  в срок до 01.05.2024 ликвидировать свалки отходов, представляющие собой разрушенные многоквартирные дома и дворовые бесхозные постройки.;Извещение о ликвидации МНРО в г.п. Агириш от 13.09.2023.pdf
551;Свалка по ПП РФ № 542 (22.05.2023) (823) (Выд. 26 кв. 40 Пионерского урочища Пионерского участкового лесничества Советского);823;22.05.2023;Свалка по ПП РФ № 542;Земли лесного фонда;Советский район;Выд. 26 кв. 40 Пионерского урочища Пионерского участкового лесничества Советского ;62.862171173095703;61, 18382;ТКО, строительные отходы;0.0050000000000000001;20;да;30.08.2024;АКТ № 2090469-5-50  патрулирования лесов от 22.05.23, на основании задания № 2090469-5-50 от 16.05.23г. 13.06.23 в Службу  направлено письмо о выдаче извещения Депнедрам исх.  № 31.05- 735. Службой 21.06.2023 исх.  31-02-6190 от 21.06.23 выдано извещение - срок 31.07.2023;
767;Захламление (28.05.2024) (9-767) (пгт.Междуреченский, ул.Титова);9-767;28.05.2024;Захламление;Земли населенных пунктов;Кондинский район;пгт.Междуреченский, ул.Титова;65.888473510742188;59.59002685546875;ТКО, строительный мусор;0.0015;8;нет;;;
398;"Захламление (13.09.2023) (9-398) (проезд №9 (п.3) (район СОНТ ""Птицевод""))";9-398;13.09.2023;Захламление;Земли населенных пунктов;г.Урай;"проезд №9 (п.3) (район СОНТ ""Птицевод"")";64.717308044433594;60.1417236328125;стекло;0.00014999999999999999;0.29999999999999999;нет;;Акт № 2102174-6-60 от 13.09.2023г. Извещение № 31-06-1234 от 19.09.2023;
562;Захламление (12.09.2023) (110) (ул.Звездная в северо-восточном направлении №11);110;12.09.2023;Захламление;Земли населенных пунктов;г.Урай;ул.Звездная в северо-восточном направлении №11;64.733085632324219;60.113918304443359;металлолом, ЖБИ;0.00089999999999999998;4.9000000000000004;нет;;;
462;Свалка по ПП РФ № 542 (23.05.2024) (34) (г.п. Пионерский Северная промышленная зона №2);34;23.05.2024;Свалка по ПП РФ № 542;Земли населенных пунктов;Советский район;г.п. Пионерский Северная промышленная зона №2;62.816318511962891;61, 21146;дровянная древесина;2.8999999999999999;1800;нет;;"В ходе осмотра территории г.п. Пионерский. На основании распоряжения №05-186/2017 от 05.05.2017, карточки обращения №145 от 24.04.2017, №170 от 03.05.2017 выявлено место несанкционированного размещения отходов. Информация о выявленном нарушении направлена в ЮМП. Проведен осмотр территории п.Пионерский на предмет наличия  свалок 11.05.2017.  Результаты  осмотра территории   от 11.05.2017 №05-186/2017  направлен в ЮМП исх. №31.05-1051 от 12.05.2017. Согласно письма ЮМП от 15.06.2017  в суд направленно исковое заявление о понуждении администрации п. Пионерский  к ликвидации свалки. Согласно решения Советского районного суда №2-600/2017 от 16.08.2017 в котором указано, что не подлежит удовлетворению требование ЮМП о ликвидации администрацией данной свалки, т. к данная территория находится в аренде у ИП Гаджидибирова Г.М. Договор №8-п от 31.05.2017. В 2022 году администрация г.п. Пионерский обратилась в Арбитражный суд ХМАО о расторжении договора аренды в связи с о расторжении договора аренды земельного участка
от 03.07.2017 № 8-п и возложении на ответчика обязанности привести земельный участок населенных пунктов с кадастровым номером 86:09:0301005:317, общей площадью 42000,0
кв.м., находящийся по адресу:  Советский район, поселок Пионерский, северная промышленная зона № 2, в надлежащее состояние;передать его по акту приема-передачи, взыскании задолженности по арендной плате , взысканииустановленных договором арендных платежей за пользование земельным участком до дня фактического возвращения земельного участка по акту приема-передачи в надлежащем состоянии. 28 сентября 2022 г. Дело № А75-13944/2022. Решение: оставить без рассмотрения исковое заявление в части требований о расторжении договора аренды земельного участка от 03.07.2017 № 8-п передаче земельного участка по акту приема-передачи. В остальной части исковое заявление удовлетворить частично. Обязать ИП Гаджидибирова ГМ привести земельный участок населенных пунктов с кадастровым номером 86:09:0301005:317, общей площадью 42000,0 кв.м., находящийся по   в надлежащее состояние в течение месяца со дня вступления решения в законную силу. 355,357: Произведен осмотр территории г.п. Пионерский 14.12.2017 акт №05-518/2017. направлен в ЮМП исх. №31.05-1051 от 12.05.2017. Согласно письма ЮМП от 15.06.2017  в суд напрвленно исковое заявление о понуждении администрации п. Пионерский . к ликвидации свалки. Согласно решения Советского районного суда №2-600/2017 от 16.08.2017 в котором указано, что не подлежит удовлетворению требование ЮМП о ликвидации администрацией данной свалки, т. к данная территория находится в аренде у ИП Гаджидибирова Г.М. Договор №8-п от 31.05.2017. В 2022 году администрация г.п. Пионерский обратилась в Арбитражный суд ХМАО о расторжении договора аренды в связи с о расторжении договора аренды земельного участка
от 03.07.2017 № 8-п и возложении на ответчика обязанности привести земельный участок населенных пунктов с кадастровым номером 86:09:0301005:317, общей площадью 42000,0
кв.м., находящийся по адресу:  Советский район, поселок Пионерский, северная промышленная зона № 2, в надлежащее состояние;передать его по акту приема-передачи, взыскании задолженности по арендной плате , взыскании установленных договором арендных платежей за пользование земельным участком до дня фактического возвращения земельного участка по акту приема-передачи в надлежащем состоянии. 28 сентября 2022 г. Дело № А75-13944/2022. Решение: оставить без рассмотрения исковое заявление в части требований о расторжении договора аренды земельного участка от 03.07.2017 № 8-п передаче земельного участка по акту приема-передачи. В остальной части исковое заявление удовлетворить частично. Обязать ИП Гаджидибирова ГМ привести земельный участок населенных пунктов с кадастровым номером 86:09:0301005:317, общей площадью 42000,0 кв.м., находящийся по   в надлежащее состояние в течение месяца со дня вступления решения в законную силу.     Объединен с № 355,  №357 в реестре МНРО";
555;Захламление (12.09.2023) (103) (ул.Звездная в северо-восточном направлении №4);103;12.09.2023;Захламление;Земли населенных пунктов;г.Урай;ул.Звездная в северо-восточном направлении №4;64.7308349609375;60.118057250976562;строительный мусор;0.00020000000000000001;2;нет;;;
626;Захламление (21.10.2020) (10) (Покур в КК 86:04:0000008);10;21.10.2020;Захламление;Земли населенных пунктов;Нижневартовский район;Покур в КК 86:04:0000008;75.499778747558594;60.996334075927734;металлолом, металлические бочки, заброшенная барж;0.0050000000000000001;;нет;;60 59 46,8 75 29 59,2    60 59 44,7 75 30 06,1     Представление Прокуратуры Нижневартовского района №07-05-2023 от 22.08.2023;
679;"Захламление (11.07.2024) (9-679) (Олений Остров ТСН ""Недра"")";9-679;11.07.2024;Захламление;Земли населенных пунктов;Нефтеюганский район;"Олений Остров ТСН ""Недра""";72.816444396972656;61.143054962158203;производственный отход ;0.00022499999999999999;0.5;нет;;;Письмо в администрацию городского округа Нефтеюганск.pdf
423;Свалка по ПП РФ № 542 (21.12.2017) (342) (г.п. Пионерский, в 87 метрах от кирпичного завода, в сторону железнодорожного вокзала,);342;21.12.2017;Свалка по ПП РФ № 542;Земли населенных пунктов;Советский район;г.п. Пионерский, в 87 метрах от кирпичного завода, в сторону железнодорожного вокзала,;62.853939056396484;61.205341339111328;строительный мусор , ТКО ;0.089999999999999997;500;да;20.09.2024;Произведен осмотр территории г.п. Пионерский 21.12.2017 акт №05-544/2017. В адрес администрации г.п. Пионерский направлено извещение  от 19.01.2018 №31.05-106. 12.07.23 исх. № 31.05-Исх-971 материал передан в ЮМП для подготовки искового заявления в суд о понуждении ОМС к ликвидации.   26.06.2023 проведен осмотр территории (по обращению граждан)   Отчет № 2095386-5-50 от 26.06.2023, выявлено складирование отходов лесопиления (горбыль), отработанных автомобильных покрышек, твердых коммунальных отходов. Ориентировочная площадь 900 м2, ориентировочный объем отходов 500 м3. Согласно отчета  №2147035-5-50 от 20.09.24 МНРО ликвидировано.;
786;"Захламление (21.05.2024) (9-786) (ДНТ ""Монтажник"")";9-786;21.05.2024;Захламление;Земли населенных пунктов;г.Урай;"ДНТ ""Монтажник""";60.109443664550781;64.80133056640625;Строительный мусор, черный металлом, ТКО;0.001;3;нет;;"N60° 06' 34.0"" E64° 48' 04.8""
";
574;Свалка по ПП РФ № 542 (31.07.2018) (3) (Кв. 475 в. 16 (с восточной стороны озера Бублик, в районе дома по ул. Центральной, д. 1));3;31.07.2018;Свалка по ПП РФ № 542;Земли лесного фонда;Нижневартовский район;Кв. 475 в. 16 (с восточной стороны озера Бублик, в районе дома по ул. Центральной, д. 1) ;76.578269958496094;61.000358581542969;Размещение свалки автомобильных покрышек, отходов ТКО и ТБО;0.0275;0;да;05.09.2024;61°00’01.3”  76°34’41.8”  61°00’02.0”  76°34’41.4”  61°00’04.3”  76°34’40.8”  61°00’03.6”  76°34’39.0” .                                                                                                                                                                    Исковое заявление Прокуратуры Нижневартовского района к Депнедрам и природным ресурсам Югры от 02.05.2024 №08-04-2024 в Ханты-Мансийский районный суд, о ликвидации МНРО                                                                                                                                                                 ;"Извещение 31-02-8140 от 15.10.2018.pdf
фототаблица к Изв.31-02-8140.pdf
Иское заявление от 02.05.2024 №08-04-2024 о ликвидации МНРО на ЗЛФ к Департаменту.pdf
Фототаблица Изв 31-02-8140.pdf"
494;Свалка по ПП РФ № 542 (28.05.2014) (14) (Советский ТО - лесничество, Торское у.л., Акрышское урочище, квартал 614, выдел 9);14;28.05.2014;Свалка по ПП РФ № 542;Земли лесного фонда;Советский район;Советский ТО - лесничество, Торское у.л., Акрышское урочище, квартал 614, выдел 9;62.99639892578125;61.922401428222656;Отходы лесопиления;0.37;20;нет;;"28.05.2014 проведено обследование. Установлено  наличие навала строительного мусора . 15.05.2014г. Направлено письмо  в Администрацию г.п. Агириш, в Администрацию Советского района о  ликвидации выявленных свалок  в срок до 15.08.2014. Передано в прокуратуру 25.08.2014. Исковое заявление Югорского межрайонного прокурора передано в Ханты - Мансийский районный суд ХМАО - Югры с иском к ДПР и НСЭ, Решением Суда ХМАО-Югры от 09.02.2015 г иск оставлен без удовлетворения (гр дело № 2-515/2015).  Суть решения: "" В соответствии с Положением о Департаменте ПРи НСЭ - Департамент организует использование лесов, их охрану и защиту, воспроизводство лесов на землях лесного фонда, обязанность по ликвидации несанкционированных свалок в результате жизнедеятельности людей на Департамент не возложена."" Выдано извещение Депнедрам Исх. № 31-02-526 от 25.01.2021, до настоящего времени извещение не исполнено.";Извещение № 31-02-526 от 25.01.2021.pdf
414;Захламление (22.05.2024) (9-414) (ГК Строитель №2  (п.3));9-414;22.05.2024;Захламление;Земли населенных пунктов;г.Урай;ГК Строитель №2  (п.3);64.746246337890625;60.107528686523438;строительный мусор;0.021999999999999999;3;нет;;"Акт № 2102165-6-60 от 13.09.2023г. Извещение № 31-06-1234 от 19.09.2023, предостережение №2103623-6-60 от 19.09.2023
";
806;Захламление (06.06.2024) (9-806) (п. Мулымья, между ж/д 65 и 67);9-806;06.06.2024;Захламление;Земли населенных пунктов;Кондинский район;п. Мулымья, между ж/д 65 и 67;64.545692443847656;60.193805694580078;бытовой мусор, деревянные конструкции;30;2;нет;;;
763;Свалка по ПП РФ № 542 (22.10.2024) (3) (квартал 478 выдела 19,22,81 Обского урочища, Обского участкового лесничества,Октябрьского территориального отдела-лесничества);3;22.10.2024;Свалка по ПП РФ № 542;Земли лесного фонда;Октябрьский район;квартал 478 выдела 19,22,81 Обского урочища, Обского участкового лесничества,Октябрьского территориального отдела-лесничества;67045.8125;621610.6875;строительный мусор;0.377;754;нет;;;
862;Захламление (21.05.2024) (9-862) (СОНТ СН «Изумруд»);9-862;21.05.2024;Захламление;Земли населенных пунктов;г.Урай;СОНТ СН «Изумруд»;60.110500335693359;64.70391845703125;Строительный мусор;0.0050000000000000001;8;нет;;"N60° 06' 37.8"" E64° 42' 14.1""
";
751;Свалка по ПП РФ № 542 (18.10.2024) (9-751) (г. Урай, Промбаза);9-751;18.10.2024;Свалка по ПП РФ № 542;Земли населенных пунктов;г.Урай;г. Урай, Промбаза;64.723640441894531;60.141471862792969;строительный и бытовой мусор, древесные  отходы (предположительно лесопилка);0.40000000000000002;165;нет;;;31.06-Исх-1553 Извещение по свалке Промбаза.pdf
408;Захламление (19.09.2023) (9-408) (р-н ул.Буровиков с правой стороны от обочины дороги по направлению г.Урай-Пирс (п.4));9-408;19.09.2023;Захламление;Земли населенных пунктов;г.Урай;р-н ул.Буровиков с правой стороны от обочины дороги по направлению г.Урай-Пирс (п.4);64.791000366210938;60.134944915771484;ТКО;0.0011999999999999999;3;нет;18.09.2024;Акт, подтверждающий ликвидацию: от 18.09.2024 №2147164-6-60;
749;Захламление (13.09.2023) (9-749) (мкр.Лесной, дом 111);9-749;13.09.2023;Захламление;Земли населенных пунктов;г.Урай;мкр.Лесной, дом 111;"64° 46' 54.1""";"60° 07' 05,2""";ТКО;0.002;0.0030000000000000001;да;06.06.2024;Акт ликвидации от 06.06.2024 №2133175-6-60;
816;"Захламление (21.05.2024) (9-816) (ДНТ ""Монтажник"")";9-816;21.05.2024;Захламление;Земли населенных пунктов;г.Урай;"ДНТ ""Монтажник""";60.108833312988281;64.8026123046875;ТКО;0.0050000000000000001;1;нет;;"N60° 06' 31.8"" E64° 48' 09.4""
";
477;Свалка по ПП РФ № 542 (01.01.1998) (9-477) (3 км от п.г.т.Мортка);9-477;01.01.1998;Свалка по ПП РФ № 542;Земли лесного фонда;Кондинский район;3 км от п.г.т.Мортка;65.958358764648438;59.343189239501953;ТБО;5;156433300;нет;;;
